Fecha y hora | Temperatura (°C)
-------------------------------
2025-05-17 10:28:55 | 53.4
Fecha y hora | Temperatura (°C)
-------------------------------
2025-05-17 13:11:43 | 58.4
2025-05-17 13:12:13 | 56.2
2025-05-17 13:12:43 | 56.2
2025-05-17 13:13:13 | 56.2
2025-05-17 13:13:43 | 56.2
2025-05-17 13:14:13 | 55.1
2025-05-17 13:14:43 | 57.3
2025-05-17 13:15:13 | 57.8
2025-05-17 13:15:43 | 56.7
2025-05-17 13:16:13 | 58.4
2025-05-17 13:16:43 | 57.3
2025-05-17 13:17:13 | 58.9
2025-05-17 13:17:43 | 56.7
2025-05-17 13:18:13 | 56.2
2025-05-17 13:18:43 | 56.7
2025-05-17 13:19:13 | 57.3
2025-05-17 13:19:43 | 56.2
2025-05-17 13:20:13 | 56.7
2025-05-17 13:20:43 | 56.7
2025-05-17 13:21:13 | 57.3
2025-05-17 13:21:43 | 57.3
2025-05-17 13:22:13 | 57.8
2025-05-17 13:22:43 | 57.3
2025-05-17 13:23:13 | 57.3
2025-05-17 13:23:43 | 56.7
2025-05-17 13:24:13 | 56.2
2025-05-17 13:24:43 | 55.1
2025-05-17 13:25:13 | 56.2
2025-05-17 13:25:43 | 57.8
2025-05-17 13:26:13 | 56.7
2025-05-17 13:26:43 | 57.8
2025-05-17 13:27:13 | 57.8
Fecha y hora | Temperatura (°C)
-------------------------------
2025-05-31 23:21:48 | 57.8
Fecha y hora | Temperatura (°C)
-------------------------------
2025-05-31 23:22:53 | 57.8
2025-05-31 23:23:23 | 57.3
2025-05-31 23:23:53 | 57.3
2025-05-31 23:24:23 | 59.5
2025-05-31 23:24:53 | 57.8
2025-05-31 23:25:23 | 57.8
2025-05-31 23:25:53 | 57.3
2025-05-31 23:26:23 | 58.9
2025-05-31 23:26:53 | 57.3
2025-05-31 23:27:23 | 58.4
2025-05-31 23:27:53 | 57.3
2025-05-31 23:28:23 | 57.8
2025-05-31 23:28:53 | 58.4
2025-05-31 23:29:23 | 58.4
2025-05-31 23:29:53 | 59.5
2025-05-31 23:30:23 | 57.8
2025-05-31 23:30:53 | 58.4
2025-05-31 23:31:23 | 61.1
2025-05-31 23:31:53 | 59.5
2025-05-31 23:32:23 | 65.0
2025-05-31 23:32:53 | 65.5
2025-05-31 23:33:23 | 66.1
2025-05-31 23:33:53 | 65.5
2025-05-31 23:34:23 | 63.9
2025-05-31 23:34:53 | 63.3
2025-05-31 23:35:23 | 62.8
2025-05-31 23:35:53 | 60.0
2025-05-31 23:36:23 | 58.4
2025-05-31 23:36:53 | 58.9
2025-05-31 23:37:23 | 58.9
2025-05-31 23:37:53 | 57.3
2025-05-31 23:38:23 | 58.4
2025-05-31 23:38:53 | 57.8
2025-05-31 23:39:23 | 57.3
2025-05-31 23:39:53 | 58.4
2025-05-31 23:40:23 | 57.8
2025-05-31 23:40:53 | 56.7
2025-05-31 23:41:23 | 57.3
2025-05-31 23:41:53 | 57.3
2025-05-31 23:42:23 | 57.8
2025-05-31 23:42:53 | 55.1
2025-05-31 23:43:23 | 55.6
2025-05-31 23:43:53 | 55.6
2025-05-31 23:44:23 | 56.2
2025-05-31 23:44:53 | 56.7
2025-05-31 23:45:23 | 57.3
2025-05-31 23:45:53 | 57.3
2025-05-31 23:46:23 | 58.4
2025-05-31 23:46:53 | 58.4
2025-05-31 23:47:23 | 58.4
2025-05-31 23:47:53 | 57.3
2025-05-31 23:48:23 | 57.3
2025-05-31 23:48:53 | 57.3
2025-05-31 23:49:23 | 57.8
2025-05-31 23:49:53 | 56.7
2025-05-31 23:50:23 | 52.9
Fecha y hora | Temperatura (°C)
-------------------------------
2025-06-01 12:43:42 | 57.3
2025-06-01 12:44:12 | 58.9
2025-06-01 12:44:42 | 58.9
2025-06-01 12:45:12 | 59.5
2025-06-01 12:45:42 | 57.8
2025-06-01 12:46:12 | 58.9
2025-06-01 12:46:42 | 58.9
2025-06-01 12:47:12 | 60.0
2025-06-01 12:47:42 | 58.9
2025-06-01 12:48:12 | 59.5
2025-06-01 12:48:42 | 61.1
2025-06-01 12:49:12 | 60.0
2025-06-01 12:49:42 | 58.4
2025-06-01 12:50:12 | 54.5
2025-06-01 12:50:42 | 54.5
2025-06-01 12:51:12 | 54.0
2025-06-01 12:51:42 | 51.8
2025-06-01 12:52:12 | 51.8
2025-06-01 12:52:42 | 55.1
2025-06-01 12:53:12 | 51.8
2025-06-01 12:53:42 | 51.8
2025-06-01 12:54:12 | 51.8
2025-06-01 12:54:42 | 54.0
2025-06-01 12:55:12 | 55.6
2025-06-01 12:55:42 | 55.6
2025-06-01 12:56:12 | 56.2
2025-06-01 12:56:42 | 55.6
2025-06-01 12:57:12 | 57.3
2025-06-01 12:57:42 | 57.8
2025-06-01 12:58:12 | 58.4
2025-06-01 12:58:42 | 57.3
2025-06-01 12:59:12 | 57.3
2025-06-01 12:59:42 | 58.9
2025-06-01 13:00:13 | 59.5
2025-06-01 13:00:43 | 57.8
2025-06-01 13:01:13 | 57.3
2025-06-01 13:01:43 | 57.3
2025-06-01 13:02:13 | 56.7
2025-06-01 13:02:43 | 57.3
2025-06-01 13:03:13 | 57.8
2025-06-01 13:03:43 | 57.3
2025-06-01 13:04:13 | 57.3
2025-06-01 13:04:43 | 58.4
2025-06-01 13:05:13 | 58.4
2025-06-01 13:05:43 | 60.0
2025-06-01 13:06:13 | 59.5
2025-06-01 13:06:43 | 58.9
2025-06-01 13:07:13 | 58.9
2025-06-01 13:07:43 | 58.9
2025-06-01 13:08:13 | 58.4
2025-06-01 13:08:43 | 58.9
2025-06-01 13:09:13 | 57.8
2025-06-01 13:09:43 | 59.5
2025-06-01 13:10:13 | 57.3
2025-06-01 13:10:43 | 57.8
2025-06-01 13:11:13 | 58.9
2025-06-01 13:11:43 | 59.5
2025-06-01 13:12:13 | 58.4
2025-06-01 13:12:43 | 59.5
2025-06-01 13:13:13 | 57.8
2025-06-01 13:13:43 | 58.9
2025-06-01 13:14:13 | 59.5
2025-06-01 13:14:43 | 59.5
2025-06-01 13:15:13 | 59.5
2025-06-01 13:15:43 | 59.5
2025-06-01 13:16:13 | 58.9
2025-06-01 13:16:43 | 59.5
2025-06-01 13:17:13 | 57.8
2025-06-01 13:17:43 | 60.0
2025-06-01 13:18:13 | 58.9
2025-06-01 13:18:43 | 58.9
2025-06-01 13:19:13 | 61.1
2025-06-01 13:19:43 | 60.0
2025-06-01 13:20:13 | 61.1
2025-06-01 13:20:43 | 60.0
2025-06-01 13:21:13 | 61.7
2025-06-01 13:21:43 | 60.6
2025-06-01 13:22:13 | 60.6
2025-06-01 13:22:43 | 61.1
2025-06-01 13:23:13 | 61.1
2025-06-01 13:23:43 | 60.0
2025-06-01 13:24:13 | 59.5
2025-06-01 13:24:43 | 60.6
2025-06-01 13:25:13 | 61.1
2025-06-01 13:25:43 | 60.6
2025-06-01 13:26:13 | 59.5
2025-06-01 13:26:43 | 60.6
2025-06-01 13:27:13 | 59.5
2025-06-01 13:27:43 | 61.7
2025-06-01 13:28:13 | 60.0
2025-06-01 13:28:43 | 60.0
2025-06-01 13:29:13 | 59.5
2025-06-01 13:29:43 | 59.5
2025-06-01 13:30:13 | 60.0
2025-06-01 13:30:43 | 58.9
2025-06-01 13:31:13 | 59.5
2025-06-01 13:31:43 | 59.5
2025-06-01 13:32:13 | 59.5
2025-06-01 13:32:43 | 58.9
2025-06-01 13:33:13 | 60.6
2025-06-01 13:33:43 | 58.9
2025-06-01 13:34:13 | 57.8
2025-06-01 13:34:43 | 57.8
2025-06-01 13:35:13 | 59.5
2025-06-01 13:35:43 | 58.9
2025-06-01 13:36:13 | 58.9
2025-06-01 13:36:43 | 58.4
2025-06-01 13:37:13 | 58.4
2025-06-01 13:37:43 | 58.9
2025-06-01 13:38:13 | 58.4
2025-06-01 13:38:43 | 58.4
2025-06-01 13:39:13 | 58.9
2025-06-01 13:39:43 | 57.8
2025-06-01 13:40:13 | 58.9
2025-06-01 13:40:43 | 58.4
2025-06-01 13:41:13 | 58.9
2025-06-01 13:41:43 | 58.4
2025-06-01 13:42:13 | 58.4
2025-06-01 13:42:43 | 58.9
2025-06-01 13:43:13 | 60.0
2025-06-01 13:43:43 | 58.4
2025-06-01 13:44:13 | 60.0
2025-06-01 13:44:43 | 60.6
2025-06-01 13:45:13 | 59.5
2025-06-01 13:45:43 | 60.6
2025-06-01 13:46:13 | 60.6
2025-06-01 13:46:43 | 60.0
2025-06-01 13:47:13 | 60.0
2025-06-01 13:47:43 | 60.0
2025-06-01 13:48:13 | 60.0
2025-06-01 13:48:43 | 60.0
2025-06-01 13:49:13 | 60.0
2025-06-01 13:49:43 | 59.5
2025-06-01 13:50:13 | 60.0
2025-06-01 13:50:43 | 59.5
2025-06-01 13:51:13 | 60.0
2025-06-01 13:51:43 | 59.5
2025-06-01 13:52:13 | 58.9
2025-06-01 13:52:43 | 59.5
2025-06-01 13:53:13 | 59.5
2025-06-01 13:53:43 | 60.0
2025-06-01 13:54:13 | 59.5
2025-06-01 13:54:43 | 57.8
2025-06-01 13:55:13 | 57.8
2025-06-01 13:55:43 | 59.5
2025-06-01 13:56:13 | 60.0
2025-06-01 13:56:43 | 58.9
2025-06-01 13:57:13 | 57.8
2025-06-01 13:57:43 | 58.4
2025-06-01 13:58:13 | 58.9
2025-06-01 13:58:43 | 58.9
2025-06-01 13:59:13 | 58.9
2025-06-01 13:59:43 | 57.8
2025-06-01 14:00:13 | 57.3
2025-06-01 14:00:43 | 58.4
2025-06-01 14:01:13 | 58.4
2025-06-01 14:01:43 | 57.8
2025-06-01 14:02:13 | 58.9
2025-06-01 14:02:43 | 57.8
2025-06-01 14:03:13 | 57.8
2025-06-01 14:03:43 | 60.0
2025-06-01 14:04:13 | 57.3
2025-06-01 14:04:43 | 57.3
2025-06-01 14:05:13 | 57.8
2025-06-01 14:05:43 | 60.0
2025-06-01 14:06:13 | 57.8
2025-06-01 14:06:43 | 57.8
2025-06-01 14:07:13 | 57.3
2025-06-01 14:07:43 | 58.9
2025-06-01 14:08:13 | 61.1
2025-06-01 14:08:43 | 59.5
2025-06-01 14:09:13 | 58.9
2025-06-01 14:09:43 | 58.4
2025-06-01 14:10:13 | 59.5
